"14091: Electricity balance (MWh), by production and consumption, contents and month"
"production and consumption";"Electricity power 1993M01";"Electricity power 1993M02";"Electricity power 1993M03";"Electricity power 1993M04";"Electricity power 1993M05";"Electricity power 1993M06";"Electricity power 1993M07";"Electricity power 1993M08";"Electricity power 1993M09";"Electricity power 1993M10";"Electricity power 1993M11";"Electricity power 1993M12";"Electricity power 1994M01";"Electricity power 1994M02";"Electricity power 1994M03";"Electricity power 1994M04";"Electricity power 1994M05";"Electricity power 1994M06";"Electricity power 1994M07";"Electricity power 1994M08";"Electricity power 1994M09";"Electricity power 1994M10";"Electricity power 1994M11";"Electricity power 1994M12";"Electricity power 1995M01";"Electricity power 1995M02";"Electricity power 1995M03";"Electricity power 1995M04";"Electricity power 1995M05";"Electricity power 1995M06";"Electricity power 1995M07";"Electricity power 1995M08";"Electricity power 1995M09";"Electricity power 1995M10";"Electricity power 1995M11";"Electricity power 1995M12";"Electricity power 1996M01";"Electricity power 1996M02";"Electricity power 1996M03";"Electricity power 1996M04";"Electricity power 1996M05";"Electricity power 1996M06";"Electricity power 1996M07";"Electricity power 1996M08";"Electricity power 1996M09";"Electricity power 1996M10";"Electricity power 1996M11";"Electricity power 1996M12";"Electricity power 1997M01";"Electricity power 1997M02";"Electricity power 1997M03";"Electricity power 1997M04";"Electricity power 1997M05";"Electricity power 1997M06";"Electricity power 1997M07";"Electricity power 1997M08";"Electricity power 1997M09";"Electricity power 1997M10";"Electricity power 1997M11";"Electricity power 1997M12";"Electricity power 1998M01";"Electricity power 1998M02";"Electricity power 1998M03";"Electricity power 1998M04";"Electricity power 1998M05";"Electricity power 1998M06";"Electricity power 1998M07";"Electricity power 1998M08";"Electricity power 1998M09";"Electricity power 1998M10";"Electricity power 1998M11";"Electricity power 1998M12";"Electricity power 1999M01";"Electricity power 1999M02";"Electricity power 1999M03";"Electricity power 1999M04";"Electricity power 1999M05";"Electricity power 1999M06";"Electricity power 1999M07";"Electricity power 1999M08";"Electricity power 1999M09";"Electricity power 1999M10";"Electricity power 1999M11";"Electricity power 1999M12";"Electricity power 2000M01";"Electricity power 2000M02";"Electricity power 2000M03";"Electricity power 2000M04";"Electricity power 2000M05";"Electricity power 2000M06";"Electricity power 2000M07";"Electricity power 2000M08";"Electricity power 2000M09";"Electricity power 2000M10";"Electricity power 2000M11";"Electricity power 2000M12";"Electricity power 2001M01";"Electricity power 2001M02";"Electricity power 2001M03";"Electricity power 2001M04";"Electricity power 2001M05";"Electricity power 2001M06";"Electricity power 2001M07";"Electricity power 2001M08";"Electricity power 2001M09";"Electricity power 2001M10";"Electricity power 2001M11";"Electricity power 2001M12";"Electricity power 2002M01";"Electricity power 2002M02";"Electricity power 2002M03";"Electricity power 2002M04";"Electricity power 2002M05";"Electricity power 2002M06";"Electricity power 2002M07";"Electricity power 2002M08";"Electricity power 2002M09";"Electricity power 2002M10";"Electricity power 2002M11";"Electricity power 2002M12";"Electricity power 2003M01";"Electricity power 2003M02";"Electricity power 2003M03";"Electricity power 2003M04";"Electricity power 2003M05";"Electricity power 2003M06";"Electricity power 2003M07";"Electricity power 2003M08";"Electricity power 2003M09";"Electricity power 2003M10";"Electricity power 2003M11";"Electricity power 2003M12";"Electricity power 2004M01";"Electricity power 2004M02";"Electricity power 2004M03";"Electricity power 2004M04";"Electricity power 2004M05";"Electricity power 2004M06";"Electricity power 2004M07";"Electricity power 2004M08";"Electricity power 2004M09";"Electricity power 2004M10";"Electricity power 2004M11";"Electricity power 2004M12";"Electricity power 2005M01";"Electricity power 2005M02";"Electricity power 2005M03";"Electricity power 2005M04";"Electricity power 2005M05";"Electricity power 2005M06";"Electricity power 2005M07";"Electricity power 2005M08";"Electricity power 2005M09";"Electricity power 2005M10";"Electricity power 2005M11";"Electricity power 2005M12";"Electricity power 2006M01";"Electricity power 2006M02";"Electricity power 2006M03";"Electricity power 2006M04";"Electricity power 2006M05";"Electricity power 2006M06";"Electricity power 2006M07";"Electricity power 2006M08";"Electricity power 2006M09";"Electricity power 2006M10";"Electricity power 2006M11";"Electricity power 2006M12";"Electricity power 2007M01";"Electricity power 2007M02";"Electricity power 2007M03";"Electricity power 2007M04";"Electricity power 2007M05";"Electricity power 2007M06";"Electricity power 2007M07";"Electricity power 2007M08";"Electricity power 2007M09";"Electricity power 2007M10";"Electricity power 2007M11";"Electricity power 2007M12";"Electricity power 2008M01";"Electricity power 2008M02";"Electricity power 2008M03";"Electricity power 2008M04";"Electricity power 2008M05";"Electricity power 2008M06";"Electricity power 2008M07";"Electricity power 2008M08";"Electricity power 2008M09";"Electricity power 2008M10";"Electricity power 2008M11";"Electricity power 2008M12";"Electricity power 2009M01";"Electricity power 2009M02";"Electricity power 2009M03";"Electricity power 2009M04";"Electricity power 2009M05";"Electricity power 2009M06";"Electricity power 2009M07";"Electricity power 2009M08";"Electricity power 2009M09";"Electricity power 2009M10";"Electricity power 2009M11";"Electricity power 2009M12";"Electricity power 2010M01";"Electricity power 2010M02";"Electricity power 2010M03";"Electricity power 2010M04";"Electricity power 2010M05";"Electricity power 2010M06";"Electricity power 2010M07";"Electricity power 2010M08";"Electricity power 2010M09";"Electricity power 2010M10";"Electricity power 2010M11";"Electricity power 2010M12";"Electricity power 2011M01";"Electricity power 2011M02";"Electricity power 2011M03";"Electricity power 2011M04";"Electricity power 2011M05";"Electricity power 2011M06";"Electricity power 2011M07";"Electricity power 2011M08";"Electricity power 2011M09";"Electricity power 2011M10";"Electricity power 2011M11";"Electricity power 2011M12";"Electricity power 2012M01";"Electricity power 2012M02";"Electricity power 2012M03";"Electricity power 2012M04";"Electricity power 2012M05";"Electricity power 2012M06";"Electricity power 2012M07";"Electricity power 2012M08";"Electricity power 2012M09";"Electricity power 2012M10";"Electricity power 2012M11";"Electricity power 2012M12";"Electricity power 2013M01";"Electricity power 2013M02";"Electricity power 2013M03";"Electricity power 2013M04";"Electricity power 2013M05";"Electricity power 2013M06";"Electricity power 2013M07";"Electricity power 2013M08";"Electricity power 2013M09";"Electricity power 2013M10";"Electricity power 2013M11";"Electricity power 2013M12";"Electricity power 2014M01";"Electricity power 2014M02";"Electricity power 2014M03";"Electricity power 2014M04";"Electricity power 2014M05";"Electricity power 2014M06";"Electricity power 2014M07";"Electricity power 2014M08";"Electricity power 2014M09";"Electricity power 2014M10";"Electricity power 2014M11";"Electricity power 2014M12";"Electricity power 2015M01";"Electricity power 2015M02";"Electricity power 2015M03";"Electricity power 2015M04";"Electricity power 2015M05";"Electricity power 2015M06";"Electricity power 2015M07";"Electricity power 2015M08";"Electricity power 2015M09";"Electricity power 2015M10";"Electricity power 2015M11";"Electricity power 2015M12";"Electricity power 2016M01";"Electricity power 2016M02";"Electricity power 2016M03";"Electricity power 2016M04";"Electricity power 2016M05";"Electricity power 2016M06";"Electricity power 2016M07";"Electricity power 2016M08";"Electricity power 2016M09";"Electricity power 2016M10";"Electricity power 2016M11";"Electricity power 2016M12";"Electricity power 2017M01";"Electricity power 2017M02";"Electricity power 2017M03";"Electricity power 2017M04";"Electricity power 2017M05";"Electricity power 2017M06";"Electricity power 2017M07";"Electricity power 2017M08";"Electricity power 2017M09";"Electricity power 2017M10";"Electricity power 2017M11";"Electricity power 2017M12";"Electricity power 2018M01";"Electricity power 2018M02";"Electricity power 2018M03";"Electricity power 2018M04";"Electricity power 2018M05";"Electricity power 2018M06";"Electricity power 2018M07";"Electricity power 2018M08";"Electricity power 2018M09";"Electricity power 2018M10";"Electricity power 2018M11";"Electricity power 2018M12";"Electricity power 2019M01";"Electricity power 2019M02";"Electricity power 2019M03";"Electricity power 2019M04";"Electricity power 2019M05";"Electricity power 2019M06";"Electricity power 2019M07";"Electricity power 2019M08";"Electricity power 2019M09";"Electricity power 2019M10";"Electricity power 2019M11";"Electricity power 2019M12";"Electricity power 2020M01";"Electricity power 2020M02";"Electricity power 2020M03";"Electricity power 2020M04";"Electricity power 2020M05";"Electricity power 2020M06";"Electricity power 2020M07";"Electricity power 2020M08";"Electricity power 2020M09";"Electricity power 2020M10";"Electricity power 2020M11";"Electricity power 2020M12";"Electricity power 2021M01";"Electricity power 2021M02";"Electricity power 2021M03";"Electricity power 2021M04";"Electricity power 2021M05";"Electricity power 2021M06";"Electricity power 2021M07";"Electricity power 2021M08";"Electricity power 2021M09";"Electricity power 2021M10";"Electricity power 2021M11";"Electricity power 2021M12";"Electricity power 2022M01";"Electricity power 2022M02";"Electricity power 2022M03";"Electricity power 2022M04";"Electricity power 2022M05";"Electricity power 2022M06";"Electricity power 2022M07";"Electricity power 2022M08";"Electricity power 2022M09";"Electricity power 2022M10";"Electricity power 2022M11";"Electricity power 2022M12";"Electricity power 2023M01";"Electricity power 2023M02";"Electricity power 2023M03";"Electricity power 2023M04";"Electricity power 2023M05";"Electricity power 2023M06";"Electricity power 2023M07";"Electricity power 2023M08";"Electricity power 2023M09";"Electricity power 2023M10";"Electricity power 2023M11";"Electricity power 2023M12";"Electricity power 2024M01";"Electricity power 2024M02";"Electricity power 2024M03";"Electricity power 2024M04";"Electricity power 2024M05";"Electricity power 2024M06";"Electricity power 2024M07";"Electricity power 2024M08";"Electricity power 2024M09";"Electricity power 2024M10";"Electricity power 2024M11";"Electricity power 2024M12";"Electricity power 2025M01";"Electricity power 2025M02";"Electricity power 2025M03";"Electricity power 2025M04";"Electricity power 2025M05";"Electricity power 2025M06";"Electricity power 2025M07";"Electricity power 2025M08";"Electricity power 2025M09";"Electricity power 2025M10";"Electricity power 2025M11";"Electricity power 2025M12";"Electricity power 2026M01"
"1.1 Hydro power generation";11673067;10636402;11377918;9426997;8292378;8112115;7394606;8067914;9308581;10674093;11913778;12635875;12358991;11369816;10131814;8258317;8145214;8267441;7104508;7743224;8489197;9835215;10145951;10957075;12166565;10824208;11447300;9934022;8799962;8027187;7951091;8460534;8750360;10270142;12325277;13527284;13572312;12402827;11104426;8353576;8370847;6261011;5563904;5926422;6101372;7110925;9062277;10085537;9846254;8460885;9526318;9247383;8267072;7628962;7356612;7786485;9275641;10809934;10988098;11727982;11578402;10033614;11197273;9446834;7850461;7674283;7301425;9004306;9055841;10561529;11174763;11380161;11808954;10852908;10894268;9216899;8747880;8624444;9225922;9642892;8819318;9671022;11243421;13084195;13231494;12464006;13868963;11544663;11249789;10746111;10050387;10723543;11108317;11799317;12055970;13379999;13953339;12438032;11862929;9225859;7855812;7550779;6824626;7814380;7634781;9870696;12357322;13592813;13429626;11417989;11743476;9653841;9520386;9787842;9513106;9708274;9444404;11743738;11904197;11861532;10913220;9724705;8831255;7349242;7207886;7860257;7016462;7717030;8443872;10738995;9871065;10426777;12237794;10629659;10467571;7798307;7589671;7669888;6192211;7535347;7948741;9162655;10613484;11434374;13256254;13277845;13539812;10786894;9827689;9492169;9090615;9301139;9462646;11152823;12942343;14440518;14638255;13063644;13495826;9446228;7821440;8388455;7856659;8268969;7784117;8434123;10005439;10601465;12381771;12782437;11289100;10008806;10322725;9777408;10223632;11093546;11346769;11415115;12056842;12590469;13417638;12745900;13445436;11137187;10437667;10581569;10255988;10004402;10132009;11641715;12647546;14074843;13796276;12015959;11653000;9052480;8471635;7641988;7599770;9151292;10099918;12073913;11921648;13591998;14249365;12082668;10569953;8107465;7055820;6427624;7441873;7425687;8609302;10963316;11643542;13365401;10524386;9865867;9369715;7793373;8141646;9015881;10228637;10125321;10059072;11748703;12651390;12555351;15006054;13937887;12413809;11710654;10808425;10120319;10012282;10684799;10521127;11765389;11825234;14092365;14148246;12093357;11950284;9127947;9343219;9270084;9277607;9726483;9469056;10383643;11719841;12512431;14072018;11343284;11702699;11046960;11035551;10356319;9811824;9390051;10142671;11293424;12601738;13839214;14174194;12328923;12636833;10530859;10453959;10631017;9773733;10273233;10721754;11496478;12657293;13335506;15834861;13608131;13856537;11257556;10889267;10660561;9952279;9949918;10180388;11648805;12652249;13514754;14737330;12667724;12264196;11058537;10874085;10671504;10189374;10638498;10827917;11748096;13106785;14211921;14966904;14252555;13477906;10037426;9757635;9165049;8896670;10027285;10528726;12507962;12932163;12961540;13880701;10991055;10477292;9342332;9168288;8847070;9233706;9511438;10178611;10800207;12075504;11289732;12018612;11806306;13010776;11616762;11282754;9996063;10451675;10838474;10993018;12907317;11950535;14720967;16448465;13172264;12382899;11375507;11396142;10671115;10211586;9657246;10126089;10743083;13011644;14473978;13174587;11278236;13058651;10135314;9492477;10543848;9421451;9357103;7352290;9369387;12364093;13189657;12247275;12043602;12830945;10648862;9830063;10444315;10596552;11225697;10707186;11775274;12716210;12261710;13718032;12575597;12941225;11129878;10741020;10124506;10194309;9746939;10418989;11283463;13217189;13923035;15778874;14496090;13399395;11809036;10462259;9770412;10809205;9943766;10217482;11531859;13392061;13863750;16002328
"1.2 Wind power generation";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1157;924;1398;1820;1140;956;988;852;1224;1034;1618;1165;4044;3113;3079;2031;1914;2358;1824;1696;2416;2753;2981;1990;2751;2560;1518;1807;1858;2058;2141;1730;1457;2600;5217;3061;4420;3936;4137;3146;2864;2678;2561;2306;2955;3270;2591;4039;21089;17802;26389;20808;13423;10527;10067;11697;19681;21821;17420;29072;18298;22566;20974;14090;14782;14885;10899;11073;23315;18079;37482;53076;45528;35290;24383;29377;30668;39280;22452;42121;65407;50226;59436;62862;76535;47542;40107;42673;40790;44065;38251;24406;47490;63933;89163;118189;86503;61400;87450;95812;59686;45151;45112;47207;90259;91255;96102;94904;93947;105761;76124;53297;44583;47800;49670;39894;60643;122320;115628;107277;128255;71103;115417;71335;70728;43864;54492;53750;133706;63869;89633;84349;93912;65577;83507;65841;43356;58921;63945;55806;51135;119217;91080;102612;139125;105934;151236;109454;71401;62514;61537;57454;109345;153775;127852;143664;140166;171252;182947;84849;102108;71929;86612;74154;138828;139075;176728;187327;146849;139935;170802;140505;136543;94936;136289;122256;114767;182572;209032;299668;257853;245711;234680;179116;117346;107949;76996;111749;148813;249448;226258;260378;300375;260069;240519;208981;172049;169734;120344;158265;174194;213795;203056;294037;232392;188006;212401;149112;125722;118217;104893;129481;157097;173670;232281;292470;275749;206597;251960;187838;141584;148615;122139;176359;258125;373937;346352;360296;366272;276031;303580;225749;222609;242986;163819;211335;379417;496495;447944;539644;555628;488283;527024;355310;358079;352544;290674;325993;518356;454638;518954;790768;1024285;853722;942781;686210;600285;372085;506181;445913;858422;922942;1338367;1359399;872583;1120002;1271373;916171;532029;613563;691798;600008;980993;1478937;1265702;1423877;1753373;1541512;1395390;854480;1147859;704568;954140;843935;1009659;1428555;1743477;1432648;1661816;1522049;1251268;1120309;1138029;679239;619621;727923;1065550;1362285;1334437;1482320;1701875;1514868;1315739;1136168;751269;922613;638265;1132401;943743;1383865;1343629;1760253;1414521;1233167;1435432;993999;975169;857568;452295;1026692;1110104;1474789;1234998;1690575;1584742
"1.3 Solar power generation";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;178;376;1169;2905;4446;5066;4525;4259;2135;725;239;95;98;314;1564;4313;4696;6359;6977;5619;2538;973;269;92;199;605;3511;7112;8736;10984;11506;10377;6466;2611;473;158;310;1964;5574;16044;27559;35880;29865;21022;15365;7091;868;288;488;1830;8617;26683;51102;48956;44354;34299;23573;7779;2106;715;762;4724;20108;41622;66169;61591;66310;48133;24242;9087;2161;998;868
"1.4 Thermal power generation";45109;39467;28193;37340;47301;48841;23897;54316;40949;44592;40516;36418;42762;43829;45284;46496;61606;66678;58316;47341;48271;69629;68937;76360;67424;65175;71161;64697;62957;74253;58147;52851;44473;43683;40819;55608;74138;74183;64119;76158;74559;52321;69139;61615;69406;73357;73488;70996;69253;62687;64943;67933;67986;43371;47234;50664;45561;53082;58640;75965;76532;64520;70396;64279;62305;68502;44746;37422;28943;54094;68861;76833;71651;55073;78142;67236;73509;53196;66574;67165;68082;64771;73808;74803;75629;68706;69327;78853;59090;45478;46973;60001;58231;46846;47963;74037;74080;75210;77043;76778;76178;68338;84957;73714;65780;77682;83102;77237;81386;72963;77740;78006;64535;68211;55660;54315;57848;61271;81186;80372;69990;78206;83310;81133;68814;81737;87527;63565;80724;91061;83338;83476;97878;92838;99656;101725;101754;82768;100302;83866;57100;74204;74747;96112;104112;73969;85455;65859;86303;82495;78592;74167;78935;97214;100686;102346;103420;98588;91985;95918;80084;98885;105123;103037;89301;85772;115923;117507;107371;103078;109212;102362;73874;85782;109371;97998;172106;151437;178309;228202;133709;98687;110373;109565;99105;107567;103990;100701;100874;95517;90333;77753;225884;202401;501480;449110;496281;414574;521667;332545;331421;394382;409646;461965;481972;476668;575556;534889;500595;530345;566745;402860;228406;266772;446187;599478;607536;579136;630068;530924;429838;278564;251926;312147;260824;274730;310414;305691;281906;321903;283728;285885;250453;265486;210988;307648;244392;306187;292893;339780;310830;191707;186656;207565;310676;270738;325598;290969;302899;310415;300125;315361;313136;275754;321802;315720;170565;255162;319151;313823;260941;326838;295296;306776;293459;282313;298174;273584;302287;289681;298794;297361;269400;303123;267665;315836;309380;291422;304460;299075;294006;250679;295377;307555;216073;257861;282158;302348;298046;281848;295838;291471;221099;247632;312622;296754;272273;307022;289755;293281;295579;267305;294347;283588;277650;273174;303764;305675;289610;276763;285490;304328;270314;265843;300677;297827;283679;269932;266038;264367;252308;270870;272601;287987;293352;273249;281702;282776;220423;198851;284744;278584;194856;82236;142150;138338;130753;119001;133879;131166;147019;135431;140480;135728;125232;136488;142441;144290;151066;129053;157147;143943;134745;220325;276802;251089;210572;217974;213378;227556;230094;213649;212150;218192;127065;173781;234205;224064;215787;219885;231929;220332;208722;201087;219873;172929;209235;186057;217855;190413;192214;203105;180328;162490;173579;170069;191123;163937;95735;100625;135979;207696;197237;189490;221346;226871;194636
